"イキタイ","サ活","サウナ飯","ターゲット","市区町村","施設名","施設タイプ","住所","TEL","HP","定休日","営業時間","料金","URL","CREATE_AT"
"1011","1489","43","対象：男女","東京都 江戸川区","イーストランド","銭湯（公衆浴場）","東京都 江戸川区 西篠崎2-23-1","03-3670-0945","http://eastland.jp/","月曜日","月曜日: 定休日\n火曜日: 14時30分～23時00分\n水曜日: 14時30分～23時00分\n木曜日: 14時30分～23時00分\n金曜日: 14時30分～23時00分\n土曜日: 14時30分～23時00分\n日曜日: 14時30分～23時00分","大人480円+サウナ400円\n（ミニタオル・バスタオルセット）","https://sauna-ikitai.com/saunas/1739","2022/08/09 22:33:43"
"1009","1247","35","対象：男女","東京都 大田区","桜館","銭湯（公衆浴場）","東京都 大田区 池上6-35-5","03-3754-2637","http://sakurakan.biz/","-","月曜日: 12時00分～1時00分\n火曜日: 12時00分～1時00分\n水曜日: 12時00分～1時00分\n木曜日: 12時00分～1時00分\n金曜日: 12時00分～1時00分\n土曜日: 10時00分～1時00分\n日曜日: 10時00分～1時00分","入浴料500円＋サウナ入浴料100円","https://sauna-ikitai.com/saunas/2081","2022/08/09 22:33:50"
"1008","164","8","対象：男女","静岡県 伊豆市","おちあいろう","ホテル・旅館","静岡県 伊豆市 湯ケ島1887-1","0558-85-0014","https://www.ochiairo.co.jp/","なし","午前0時〜午前6時は事故防止の為、大浴場はご利用を控えていただいてありがとうございます。\nその他、午前11時〜午後3時の間は清掃によりご利用出来ない事があります。\n(施設ＨＰより転載)","宿泊料金により異なる","https://sauna-ikitai.com/saunas/7196","2022/08/09 22:33:55"
"981","3217","194","対象：男女","愛知県 名古屋市","キャナルリゾート","温浴施設（スーパー銭湯・サウナ・スパ施設）","愛知県 名古屋市 中川区玉川町4-1","052-661-9876","http://canalresort.jp/","-","月曜日: 9時00分～1時00分\n火曜日: 9時00分～1時00分\n水曜日: 9時00分～1時00分\n木曜日: 9時00分～1時00分\n金曜日: 9時00分～2時00分\n土曜日: 8時00分～2時00分\n日曜日: 8時00分～1時00分","サウナリューアル後平日700円から750円へ\n土日は100円アップ\n\n金山駅などの金券ショップに600円で買える割引券あり","https://sauna-ikitai.com/saunas/2549","2022/08/09 22:34:00"
"980","1651","145","男性専用","東京都 港区","PARADISE(パラダイス)","温浴施設（スーパー銭湯・サウナ・スパ施設）","東京都 港区 芝５丁目２３−１６","03-6453-8720","https://paradise-mita.com/","なし","24 時間営業\nただし、清掃時間（am 03:00 - am 06:00）を除く","一般浴場(共用サウナ含)\n最初の30分（バスタオル、フェイスタオル込）：750円\n以降10分ごと：250円\n他、個室(貸切)サウナ有り","https://sauna-ikitai.com/saunas/24667","2022/08/09 22:34:04"
"973","2984","227","対象：男女","東京都 足立区","大谷田温泉 明神の湯","温浴施設（スーパー銭湯・サウナ・スパ施設）","東京都 足立区 大谷田1-18-1","03-5613-2683","http://www.myoujin-no-yu.com/","毎月第3火曜日（第3火曜日が祝日の場合は翌日が休館日。）\n※設備点検のため年数回休みあり","月～木曜日、10：00～23：00\n（最終入館受付22：30）\n金・土・日・祝、10：00～23：00\n（最終入館受付22：30）\n食事処 月～木曜日11：00～22：00（ラストオーダー）\n金・土・日・祝11：00～22：00（ラストオーダー）","●平日\n入館料　1100円\n朝風呂　700円\n夜風呂　900円\n\n●土日祝\n入館料　1300円\n朝風呂　900円\n\n回数券（5枚綴り）　5000円\n※明神の日（毎月第三木曜日）、風呂の日（毎月26日）は回数券一冊の購入ごとに無料入泉券一枚プレゼント\n\n他にもお得なセット券あり、HP確認されたし","https://sauna-ikitai.com/saunas/1593","2022/08/09 22:34:07"
"959","8841","688","男性専用","東京都 豊島区","カプセルイン大塚","温浴施設（スーパー銭湯・サウナ・スパ施設）","東京都 豊島区 北大塚2-15-10 ジュンエイビル4〜8F","03-3940-4681","http://www.capsule-in-otsuka.co.jp/","年中無休","24時間営業（深夜2時半〜3時半は清掃時間）\n月曜10時〜14時（前後まで）清掃＆設備点検","サウナ休憩 ９０分1,000円\nサウナ休憩 ４時間1,800円\n(0:00-5:00の在館は別途深夜料金+500円)\n\n男性 宿泊料金１泊 3,700円\n（電話予約 3,500円）\n※全曜日共通\n\n男性ロングステイ １０時間2,500円\n（サウナ・大浴場・カプセル使用可）\n\n女性宿泊１泊 2,980円\n※全曜日共通\n\n女性ロングステイ １０時間2,500円\n（シャワー・カプセル使用可。サウナは男性のみ）","https://sauna-ikitai.com/saunas/1674","2022/08/09 22:34:10"
"957","460","100","対象：男女","茨城県 結城市","KURA SAUNA","温浴施設（スーパー銭湯・サウナ・スパ施設）","茨城県 結城市 結城183 yuinowa内","090-1734-9637","https://dorianhead.wixsite.com/kurasauna","※その他不定期\n※休みの情報については、SNS/HPを要確認","営業時間：10：00～20：00\n\n・第1回：10:00～13:00\n・第2回：13:30～16:30\n・第3回：17:00～20:00","【プライベートデー】\n完全貸し切り(一棟1セッション)利用\n\n〇利用日：毎週(金)(土)(日)および祝日\n〇料金：8,000円/名\n〇最低利用人数：2名以上\n〇内容：\n・1セッションサウナ貸し切り利用\n・食事（サウナ飯）\n・ワンドリンク\n\n【パブリックデー】\n他のお客様との相席利用\n\n〇利用日：毎週(水)(木)\n〇料金：2,000円/名\n〇最低利用人数：1名以上\n〇内容：1セッションサウナ利用","https://sauna-ikitai.com/saunas/11135","2022/08/09 22:34:13"
"951","2037","54","対象：男女","大阪府 大阪市","ヘルシー温泉タテバ","銭湯（公衆浴場）","大阪府 大阪市 浪速区桜川2-14-19","06-6567-1424","http://www.tateba.com/","年中無休","月曜日: 14時00分～5時00分\n火曜日: 14時00分～5時00分\n水曜日: 14時00分～5時00分\n木曜日: 14時00分～5時00分\n金曜日: 14時00分～5時00分\n土曜日: 14時00分～5時00分\n日曜日: 14時00分～5時00分","入泉料：490円\n手ぶらセット：700円\nサウナ追加料:300円\nタンニングマシン：2300円","https://sauna-ikitai.com/saunas/3221","2022/08/09 22:34:16"
"939","1363","37","対象：男女","長野県 北佐久郡軽井沢町","星野温泉 トンボの湯","温浴施設（スーパー銭湯・サウナ・スパ施設）","長野県 北佐久郡軽井沢町 長倉2148","0267-44-3580","http://www.hoshino-area.jp/tonbo/","-","月曜日: 10時00分～23時00分\n火曜日: 10時00分～23時00分\n水曜日: 10時00分～23時00分\n木曜日: 10時00分～23時00分\n金曜日: 10時00分～23時00分\n土曜日: 10時00分～23時00分\n日曜日: 10時00分～23時00分","大人1,350円\n子供750円（3才〜小学生）\n貸しタオルセット（バスタオル+フェイスタオル） 300円\n\n※軽井沢及び近郊に居住する人は証明するものを持参して会員登録すると超割引きに。別荘でも可。（例：平日1,350円→500円)\n\n非接触型電子マネー、クレジットカードOK","https://sauna-ikitai.com/saunas/1227","2022/08/09 22:34:19"
"930","1656","16","対象：男女","東京都 渋谷区","大黒湯","銭湯（公衆浴場）","東京都 渋谷区 西原3-24-5","03-3485-1701","http://ueharaekimae.com/shop/%e5%a4%a7%e9%bb%92%e6%b9%af/","第１･ 第３　水曜日","月曜日: 15時50分～25時30分\n火曜日: 15時50分～25時30分\n水曜日: 定休日\n木曜日: 15時50分～25時30分\n金曜日: 15時50分～25時30分\n土曜日: 15時50分～25時30分\n日曜日: 13時00分～25時30分","サウナ950円（バスタオル、フェイスタオル付）","https://sauna-ikitai.com/saunas/4729","2022/08/09 22:34:22"
"928","218","45","対象：男女","長野県 上高井郡高山村","天空のサウナ 梅の屋リゾート 松川館","ホテル・旅館","長野県 上高井郡高山村 山田温泉3507-1","026-242-2721","https://www.chillnn.com/1797e78a80f258/plan#hotelMenu","なし\n水曜日と木曜日が素泊まりのみとなります。","サウナの貸切時間(宿泊者のみ)\n①12:00〜13:30＜90分＞\n②13:45〜15:40＜120分＞\n③16:00〜18:00＜120分＞\n④20:00〜22:00＜120分＞\n⑤22:15〜23:45＜90分＞\n⑥05:30〜07:30＜120分＞\n⑦07:45〜09:15＜90分＞\n⑧09:30〜11:30＜120分＞","ランチとサウナの営業\nランチとサウナ2時間入り放題と4時間旅館のお部屋貸し切りと4時間温泉入り放題で6,800円\n1日限定5組まで。\n夜は宿泊者限定でサウナの貸し切りになります。\nお問い合わせは旅館がやっているLINE公式からだとスームズ。\nhttps://lin.ee/OEiZ0U6","https://sauna-ikitai.com/saunas/11218","2022/08/09 22:34:25"
"926","1646","290","女性専用","大阪府 大阪市","大東洋レディススパ","温浴施設（スーパー銭湯・サウナ・スパ施設）","大阪府 大阪市 北区中崎西2-1-9","06-6312-7524","http://www.daitoyo.co.jp/spa/ladies/","-","全日: 12時00分～翌朝10時00分","レギュラーコース 2300円\n1時間 1300円\n早朝コース 1400円 (朝5〜10時)\nレギュラーコースはサウナ・スパ健康アドバイザーもしくは大東洋カード提示で300円OFF。\n深夜2時〜深夜料金800円加算。","https://sauna-ikitai.com/saunas/3103","2022/08/09 22:34:28"
"925","4806","180","男性専用","東京都 豊島区","カプセルホテル&サウナ 池袋プラザ","温浴施設（スーパー銭湯・サウナ・スパ施設）","東京都 豊島区 池袋2-12-3","03-3590-7770","http://www.asia-hd.co.jp/","年中無休","24時間","■ 3時間　24時間受付\n1,800円\n（平日限定2時間延長無料 ※5〜18時までの受付対象）\n\n■ 10時間　24時間受付\n2,500円\n\n■ 延長/1時間\n550円\n\n■ 3時間サウナ回数券/3枚綴り　有効期間 3カ月\n4,800円\n\n■ 12時間カプセル利用（チェックイン3:00〜12:00）\n3,000円","https://sauna-ikitai.com/saunas/1677","2022/08/09 22:34:31"
"925","3518","335","対象：男女","神奈川県 横浜市","亀遊舘","銭湯（公衆浴場）","神奈川県 横浜市 金沢区六浦4-12-21","045-701-9358","https://kiyuukan0st.wixsite.com/sento","店主体調不良により、営業日数が少なくなっています。来店前にホームページやSNS等で確認を。\n\n当面の間は、水・木・土・日のみの営業。営業時間は平日13:00～22：00、土日10:00～22:00。\n\nサウナ最終入場は21:00。","月曜日: 定休日\n火曜日: 13時00分～22時00分\n水曜日: 13時00分～22時00分\n木曜日: 13時00分～22時00分\n金曜日: 13時00分～22時00分\n土曜日: 10時00分～22時00分\n日曜日: 10時00分～22時00分","銭湯入浴料金490円\n\nサウナ１：830円（+340円）（バスタオル・フェイスタオル付き）\nサウナ２：940円（+450円）（バスタオル・フェイスタオル・シャンプー・リンス・ボディーソープ付き）\nサウナ３：720円（+230円）（フェイスタオルのみ）\nサウナ４：830円（+340円）（フェイスタオル、シャンプー・リンス・ボディーソープ付き）\nサウナ５：690円（+200円）（サウナ入場のみ）","https://sauna-ikitai.com/saunas/2368","2022/08/09 22:34:33"
"924","2995","238","男性専用","愛知県 豊橋市","サウナピア","温浴施設（スーパー銭湯・サウナ・スパ施設）","愛知県 豊橋市 神野新田町ヨノ割66","0120-88-1937","http://www.sauna-pia.co.jp/","年中無休","午前11:00 ～　翌朝9:00","入泉料 2,400円　(AM11:00〜AM3:00入館)\n深夜追加料金＋600円（AM3:00以降在館）\n\nサンライズタイム1,600円（AM3:00〜AM6:00入館)\n\n朝風呂850円（AM6:00〜8:40入館）\n\n※最終受付がAM8:40までで。AM9:00閉館\n\n中学生以下は、父兄同伴でオールタイム半額\n(※朝風呂は、400円)","https://sauna-ikitai.com/saunas/3002","2022/08/09 22:34:38"
"917","3622","347","対象：男女","埼玉県 熊谷市","おふろcafe ハレニワの湯(おふろカフェ ハレニワの湯)","温浴施設（スーパー銭湯・サウナ・スパ施設）","埼玉県 熊谷市 久保島939","048-533-2614","https://ofurocafe-hareniwanoyu.com/","-","月曜日: 10時00分～9時00分\n火曜日: 10時00分～9時00分\n水曜日: 10時00分～9時00分\n木曜日: 10時00分～9時00分\n金曜日: 10時00分～9時00分\n土曜日: 10時00分～9時00分\n日曜日: 10時00分～9時00分","銭湯コース （館内着、タオル無し）※全て税込価格\n平日：60分550円 90分750円 120分850円\n休日：60分650円 90分850円 120分950円\nフリータイム入館（館内着、タオル付き）\n平日：1,530円\n休日：1,730円\n朝風呂入館（館内着、タオル無し）\n平日（5：00〜9：00 ）：550円\n（その他、会員割引有り）\n\n60分（朝風呂利用可）回数券、120分回数券あり","https://sauna-ikitai.com/saunas/1346","2022/08/09 22:34:41"
"913","5871","541","対象：男女","岐阜県 各務原市","各務原 恵みの湯","温浴施設（スーパー銭湯・サウナ・スパ施設）","岐阜県 各務原市 鵜沼各務原町2-68","058-385-2611","https://www.meguminoyu.jp/","年中無休","月曜日: 8時00分～22時00分\n火曜日: 8時00分～22時00分\n水曜日: 8時00分～22時00分\n木曜日: 8時00分～22時00分\n金曜日: 8時00分～22時00分\n土曜日: 8時00分～22時00分\n日曜日: 8時00分～22時00分","大人：平日750円 休日800円 回数券5300円（8回分）\n小学生：平日300円 休日350円 回数券1400円（5回分）\n幼児（0歳〜）：平日150円 休日200円","https://sauna-ikitai.com/saunas/2303","2022/08/09 22:34:44"
"911","183","2","対象：男女","宮城県 伊具郡丸森町","MARUMORI-SAUNA","キャンプ場","宮城県 伊具郡丸森町 不動64-1 不動尊公園キャンプ場","なし","https://www.marumori-sauna.jp/","不定休 / 年末年始 / 定期メンテナンス / 完全予約制であり、2日前までの予約必須 / 飛び込みでの営業はしていません。","10時-17時\n※夏限定で19時までの延長可","2名まで9000円/人\n3名から8名8000円/人\n\nサウナには入らずに、BBQだけ参加するお客様もご利用人数としてカウントし、2,000円／1名を頂戴します。\n\n小学生以下のお子様は無料です。ご利用人数にはカウントされません。それにより、小学生以下のお子様のバスタオル一式は準備されませんので、お客様でのご準備をお願い致します。\n\n【BBQ】追加料金なし(事前準備のため予約時に選択)","https://sauna-ikitai.com/saunas/4972","2022/08/09 22:34:47"
"904","116","4","対象：男女","大分県 豊後大野市","稲積水中鍾乳洞","その他","大分県 豊後大野市 三重町中津留300","0974-26-2468","http://www.inazumi.com/","なし","平日　：15時に受付後鍾乳洞見学\n\n16:00〜18:00\n\n\n\n土日祝：15時に受付後鍾乳洞見学\n16:00〜18:00","料金には、鍾乳洞、その他施設の見学料も含まれているので、サウナ体験の前に見学をしていただきます。","https://sauna-ikitai.com/saunas/10962","2022/08/09 22:34:50"
"902","1815","37","対象：男女","東京都 品川区","西品川温泉 宮城湯","銭湯（公衆浴場）","東京都 品川区 西品川2-18-11","03-3491-4856","http://www.miyagiyu.co.jp/","水曜","平日　15:00〜24:00\n土・祝　13:00〜24:00\n日　11:00〜24:00\n※サウナは23:30まで\n※定休日が祝日の場合でも休み","入浴料　500円\nサウナ　250円（入浴料別）\nサウナマット　150円\nバスタオル　150円\nフェイスタオル　50円\n※4月21日（木）に料金改定","https://sauna-ikitai.com/saunas/2018","2022/08/09 22:34:53"
"900","1705","26","男性専用","東京都 品川区","ドシー五反田","温浴施設（スーパー銭湯・サウナ・スパ施設）","東京都 品川区 東五反田1-20-15","03-3447-5255","https://do-c.jp/gotanda/","6月からリオペン\n月曜日、火曜日","月　定休日\n火　定休日\n水　17:30-23:00\n木　17:30-23:00\n金　17:30-23:00\n土　13:30-19:00\n日　13:30-19:00","サウナ1時間　1,000円\n延長1時間毎　500円\n※フェイスタオル、バスタオル込み","https://sauna-ikitai.com/saunas/4673","2022/08/09 22:34:55"
"899","503","53","対象：男女","東京都 世田谷区","温泉旅館 由縁別邸 代田","ホテル・旅館","東京都 世田谷区 代田2-31-26","03-5431-3101","https://www.uds-hotels.com/yuenbettei/daita","-","平日　　06:00-13:00、16:00-25:00\n土日祝　06:00-14:00、16:00-25:00\n\n■日帰り利用\n選べる飲み物とおつまみのセットプラン。\n浴室使用時間\n平日 9:00-13:00、16:00-22:00\n土日祝 9:00-14:00，16:00-22:00","日帰りプラン\n午前 2,700円～\n午後 3,200円～\nhttps://www.uds-hotels.com/yuenbettei/daita/onsen/#onedayplan","https://sauna-ikitai.com/saunas/9203","2022/08/09 22:34:58"
"898","2057","34","対象：男女","東京都 品川区","中延温泉 松の湯","銭湯（公衆浴場）","東京都 品川区 戸越6-23-15","03-3783-1832","http://www.matsunoyu.com/","月曜日\n(月祝の場合は火曜日が休み）","月曜日: 定休日\n火曜日: 15時00分～0時00分\n水曜日: 15時00分～0時00分\n木曜日: 15時00分～0時00分\n金曜日: 15時00分～0時00分\n土曜日: 15時00分～0時00分\n日曜日: 10時00分～0時00分","大人　480円\n中学生　300円\n中人（小学生）　180円\n小人（未就学児）　80円\n※大人1人に付き小人1人無料\n\nサウナ　+300円（2021.08.01～）\n\n※各種電子マネー、PayPayで支払い可","https://sauna-ikitai.com/saunas/2030","2022/08/09 22:35:01"
"891","4762","141","対象：男女","埼玉県 さいたま市","湯屋敷孝楽","温浴施設（スーパー銭湯・サウナ・スパ施設）","埼玉県 さいたま市 浦和区元町2-18-12","048-678-1126","http://www.yuyashiki.com/","第3水曜日(2月、8月は除く)","月曜日: 10時00分～1時00分\n火曜日: 10時00分～1時00分\n水曜日: 10時00分～1時00分\n木曜日: 10時00分～1時00分\n金曜日: 10時00分～1時00分\n土曜日: 10時00分～1時00分\n日曜日: 10時00分～1時00分","(入館)\n平日650円 土日祝750円\n\n(岩盤浴:孝蒸洞)\n全日500円\n\n(入館・岩盤浴セット)\n平日1150円　土日祝1250円","https://sauna-ikitai.com/saunas/1503","2022/08/09 22:35:04"
"889","1274","18","対象：男女","東京都 港区","麻布黒美水温泉竹の湯","銭湯（公衆浴場）","東京都 港区 南麻布1-15-12","03-3453-1446","https://takenoyuazabu.wixsite.com/takeno-yu","月曜日・金曜日","月曜日: 定休日\n火曜日: 15時30分～23時30分\n水曜日: 15時30分～23時30分\n木曜日: 15時30分～23時30分\n金曜日: 定休日\n土曜日: 15時30分～23時30分\n日曜日: 15時30分～23時30分","大人（中学生以上）480円\n中人（小学生） 180円\n小人（未就学児） 80円\n\nサウナ料金　＊レンタルタオル付き\n入浴料込み　900円（2時間まで）\n入浴料別　　500円（　同上　）\n延長料金　　100円（15分ごと）","https://sauna-ikitai.com/saunas/1937","2022/08/09 22:35:07"
"887","1697","103","対象：男女","兵庫県 神戸市","サウナリゾートオリエンタル神戸 (センチュリオンホテル ヴィンテージ神戸)","ホテル・旅館","兵庫県 神戸市 中央区港島1-1-6","078-335-7801","https://www.centurion-hotel.com/v-kobe/facilities/","※毎日11時からスタッフの方が小一時間清掃を実施、使用は可能（女性は使用不可）\n※毎週月曜24時～翌火曜朝6時頃までメンテナンスの為使用できない場合がある。","■ 24時間営業\n（月曜10:30～14:00まで施設メンテナンス。女性浴場は使用不可。\n男性浴場は一部利用が制限されます。）\n\n\n※毎日11時から清掃タイム。女性浴場は使用不可。男性浴場のみ使用可能。","宿泊者は無料でスパ、サウナ、ジムを利用可能。\n日帰り利用は下記のとおり。\n90分　1,200円(スパ、サウナのみ)\n3時間 2,000円(スパ、サウナ)\n6時間 2,700円(スパ、サウナ)\nジム利用は追加+1000円\n\n駐車場は一時間100円。駐車サービス券付きのクーポンもあり。\n\nホームページやツイッターの新着情報に、随時クーポンが掲載されてる。\nhttps://www.centurion-hotel.com/v-kobe/news/?category=123","https://sauna-ikitai.com/saunas/9055","2022/08/09 22:35:10"
"886","4026","150","男性専用","神奈川県 横浜市","カプセルプラス横浜 サウナ/カプセル","温浴施設（スーパー銭湯・サウナ・スパ施設）","神奈川県 横浜市 西区北幸2-1-5","045-594-9211","https://capsule-plus.jp","なし","月曜日: 12時00分～10時00分\n火曜日: 12時00分～10時00分\n水曜日: 12時00分～10時00分\n木曜日: 12時00分～10時00分\n金曜日: 12時00分～10時00分\n土曜日: 12時00分～10時00分\n日曜日: 12時00分～10時00分","90分コース(通常)1000円\n90分コース(土日祝日、夜間)1200円\n※通常時間帯は平日の12時ー18時、毎日の朝5時ー10時。\n180分コース 追加500円\n※各時間帯の90分コース基本料金+500円\nフリータイム 2000円\n※2000円だけの支払いで平日の12時ー18時最大6時間利用できる。\n\n※延長料金は180分コース適用前追加90分で500円、180分コース適用後30分毎に500円。","https://sauna-ikitai.com/saunas/10760","2022/08/09 22:35:13"
"872","2906","38","対象：男女","東京都 武蔵野市","境南浴場","銭湯（公衆浴場）","東京都 武蔵野市 境南町3-11-8","0422-31-7347","https://twitter.com/kyonan_sento","金曜日","16時00分～23時00分","入浴料500円＋サウナ料200円","https://sauna-ikitai.com/saunas/1793","2022/08/09 22:35:17"
"868","4891","204","対象：男女","宮城県 仙台市","汗蒸幕のゆ(はんじゅんまくのゆ)","温浴施設（スーパー銭湯・サウナ・スパ施設）","宮城県 仙台市 泉区市名坂南前67-1","022-776-7077","http://hanjunmakunoyu.jp/","なし","月曜日: 9時00分～1時00分\n火曜日: 9時00分～1時00分\n水曜日: 9時00分～1時00分\n木曜日: 9時00分～1時00分\n金曜日: 9時00分～1時00分\n土曜日: 8時00分～1時00分\n日曜日: 8時00分～1時00分","一般1100円\n朝風呂：10時までに入店で900円 ※10時以降の滞在ＯK\n\n館内着/タオルレンタル 別","https://sauna-ikitai.com/saunas/643","2022/08/09 22:35:20"
"863","3598","151","対象：男女","神奈川県 川崎市","溝口温泉 喜楽里","温浴施設（スーパー銭湯・サウナ・スパ施設）","神奈川県 川崎市 高津区千年1068-1","044-741-4126","http://www.yurakirari.com/kirari-net/mizonokuchi_top.html","-","月曜日: 9時00分～0時00分\n火曜日: 9時00分～0時00分\n水曜日: 9時00分～0時00分\n木曜日: 9時00分～0時00分\n金曜日: 9時00分～0時00分\n土曜日: 9時00分～0時00分\n日曜日: 9時00分～0時00分","平日920円\n土日祝1,080円\n平日22時以降は820円\n岩盤浴 +480円\n平日22時以降岩盤浴+280円\nニフティクーポン等あり。","https://sauna-ikitai.com/saunas/2061","2022/08/09 22:35:23"
"860","463","19","対象：男女","埼玉県 飯能市","ノーラ名栗 / サウナクラブ","キャンプ場","埼玉県 飯能市 大字下名栗607-1","042-978-5522","http://nolla-naguri.jp/","記載なし","cafe &shopYAMASEI　10:00-18:00\nSAUNA CLUB\n日帰り　10:00-17:00\n宿泊　　15:00-21:00","＊テントサウナ(最大4名)1日1張貸切プラン\n・平日　2名¥8000 (1名追加¥2000)\n・休日　2名¥10000(1名追加¥2500)\n\n＊グランピング宿泊(最大4名)ナイトサウナ\n・2名¥35000〜(1名追加¥10000)","https://sauna-ikitai.com/saunas/9050","2022/08/09 22:35:25"
"853","5247","176","男性専用","東京都 新宿区","新宿区役所前カプセルホテル","ホテル・旅館","東京都 新宿区 歌舞伎町1-2-5","03-3232-1110","http://capsuleinn.com/shinjuku/","年中無休","24時間営業\n（10:00～12:00は清掃のためデイユース利用者以外利用不可）","30分600円\n1時間1,000円\n3時間1,500円\nTwitterフォローで1時間コースに限り30分無料延長キャンペーン実施中（2022年7月現在）","https://sauna-ikitai.com/saunas/1825","2022/08/09 22:35:28"
"849","1966","209","対象：男女","東京都 北区","十條湯","銭湯（公衆浴場）","東京都 北区 十条仲原1-14-2","03-3900-4600","https://mobile.twitter.com/jujoyu_1010","金曜日","緊急事態宣言に伴い閉店時間はしばらく23時になっています。\n2022年4月時点で23時閉店。\n\n月曜日: 15時00分～23時30分\n火曜日: 15時00分～23時30分\n水曜日: 15時00分～23時30分\n木曜日: 15時00分～23時30分\n金曜日: 定休日\n土曜日: 15時00分～23時30分\n日曜日: 8時00分～12時00分\n15時00分～23時30分\n\n喫茶深海の定休日は月曜日、金曜日","サウナ200円(2020.9.1改訂。)\nフェイスタオル付き。\n\n※毎週月曜日：ペパーミントサウナ、水曜日：ヴィヒタサウナ、火・木曜日：森林浴サウナ\n\n\nレンタルバスタオル　　　100円\nレンタルフェイスタオル　20円","https://sauna-ikitai.com/saunas/1615","2022/08/09 22:35:31"
"845","679","24","対象：男女","静岡県 熱海市","オーシャンスパ Fuua","温浴施設（スーパー銭湯・サウナ・スパ施設）","静岡県 熱海市 和田浜南町10-1","0557-81-0041","https://atamibayresort.com/fuua/","-","10:00～23:00（最終入館／22:00）","大人／2,500円　小人／1,800円\n【アフター5料金（17:00以降利用）】\n大人／1,500円　小人／1,000円\n別途消費税、入湯税（150円/大人ひとり）\n\n【HARBOR'S W（ハーバーズ ダブル）ランチブッフェセット】\n大人／4,500円　小人／2,800円\n※レストランの混雑状況により販売を行えない場合がございます。","https://sauna-ikitai.com/saunas/5570","2022/08/09 22:35:33"
"842","1263","34","対象：男女","東京都 港区","アジュール竹芝 天空の湯","ホテル・旅館","東京都 港区 海岸1-11-2 アジュール竹芝18F","03-3437-2011","http://www.hotel-azur.com/facility/bath/","年中無休\n※年末年始もビジター利用可","15:00～23:00(受付終了22:30)\n※23:00迄にサウナ室が閉鎖されます\n\n※宿泊時、朝はサウナ休止※\n宿泊客は6:30〜10:00まで【入浴のみ可能】\n(18階大浴場受付に朝は従業員さんが不在の為、朝はサウナ休止)","【ビジター利用】\n大人1,700円　子供900円\nバスタオル＋フェイスタオルの1セット付\n(18階で現金払いのみ)\n\n追加タオル1セット毎＋100円\n歯ブラシ、カミソリ→申告制1回目のみ無料\n\n宿泊客　大人900円\n(実際は宿泊料金に含まれてると思うがプランにより違う為、都度要確認。)\n\n回数券あり\n11枚10,000円\n※18階大浴場受付で現金で販売\n\nランステ利用※2021.5.5現在停止中※","https://sauna-ikitai.com/saunas/1926","2022/08/09 22:35:38"
"835","3383","195","対象：男女","千葉県 習志野市","天然温泉 湯～ねる","温浴施設（スーパー銭湯・サウナ・スパ施設）","千葉県 習志野市 茜浜2-2-1 ミスターマックス新習志野ショッピングセンター2F","047-409-3726","https://u-neru.com/","年中無休","入浴時間10時～25時。朝風呂6時～9時あり。","朝風呂(6：00～09：00)\n平日/600円 土日祝/700円\n入館(10～25時)\n平日/1000円 土日祝/1100円\n\n岩盤浴セット(岩盤浴・岩盤浴タオル付き)\n平日/1400円、土日祝/1600円\n\n深夜パック(入館・タオル・館内着付、退館0900迄)\n平日2900円/土・日・祝前日 3600円\n\n2022年4月1日料金改定","https://sauna-ikitai.com/saunas/6291","2022/08/09 22:35:41"
"835","132","10","対象：男女","長野県 南佐久郡佐久穂町","八千穂SAUNA","キャンプ場","長野県 南佐久郡佐久穂町 大字八郡2049-856 駒出池キャンプ場内","090-8505-0517","https://yachiho-sauna.jp","火、水、木","金曜日: 12時00分～19時00分\n土曜日: 9時30分～19時00分\n日曜日: 9時30分～19時00分\n月曜日: 12時00分～19時00分\n※火、水、木はお休みで祝日は営業\n※土日祝日はモーニングサウナが堪能出来ます。\nモーニングタイム(9:30-11:30)","【サウナロッジ1棟、テントサウナ３基、バレルサウナが全て利用可能なコース】\n平日　　　　　　　　　120分2500円\n土日祝日　　120分3000円\n※子供（小学生）は半額\n【ロウリュ水】\n山の水\n白樺水（ヴィヒタ汁）\n麦茶\n限定出汁（野草、バラ桃、ハチミツ茶、トロピカル茶、etc）","https://sauna-ikitai.com/saunas/11747","2022/08/09 22:35:45"
"830","1922","83","対象：男女","沖縄県 豊見城市","琉球温泉 龍神の湯","ホテル・旅館","沖縄県 豊見城市 瀬長174-5","098-851-7167","https://www.hotelwbf.com/senaga/onsen/","-","6:00～24：00（23：00最終受付）","大人（中学生以上）平日1,360円　土日祝1,570円 ※入湯税・消費税込\n小人（小学生）740円 ※消費税込\n幼児　無料","https://sauna-ikitai.com/saunas/4332","2022/08/09 22:35:48"
"828","3089","42","対象：男女","東京都 杉並区","美しの湯","温浴施設（スーパー銭湯・サウナ・スパ施設）","東京都 杉並区 高井戸西2-2-3-45","03-3334-0008","http://utsukushi-yu.com/","不定休","月曜日: 9時30分～0時00分\n火曜日: 9時30分～0時00分\n水曜日: 9時30分～0時00分\n木曜日: 9時30分～0時00分\n金曜日: 9時30分～0時00分\n土曜日: 9時30分～0時00分\n日曜日: 9時30分～0時00分","平　日\n大人:22:00まで950円　22:00以降 720円\n小人:720円\n土曜日・日曜日・祝祭日\n大人:22:00まで1,200円　22:00以降　920円\n小人:22:00まで1,000円　22:00以降　920円\n\n※深夜割引現在休止中","https://sauna-ikitai.com/saunas/1848","2022/08/09 22:35:50"
